code, name, population2019
C,A Coruña, 1119596
VI,Araba/Álava, 331549
AB,Albacete, 388167
A,Alacant/Alicante, 1858683
AL,Almería, 716820
O,Asturias, 1022800
AV,Ávila, 157640
BA,Badajoz, 673559
PM,Illes Balears,  1149460
B,Barcelona, 5664579
BI,Bizkaia/Vizcaya, 1152651
BU,Burgos, 356958
CC,Cáceres, 394151
CA,Cádiz, 1240155
S,Cantabria, 581078
CS,Castelló/Castellón, 579962
CR,Ciudad Real, 495761
CO,Córdoba,782979
CU,Cuenca,196329
SS,Gipuzkoa/Guipúzcoa,723576
GI,Girona,771044
GR,Granada,914678
GU,Guadalajara,257762
H,Huelva,521870
HU,Huesca,220461
J,Jaén,633564
LO,La Rioja,316798
GC,Las Palmas,1120406
LE,León, 460001
L,Lleida, 434930
LU,Lugo, 329587
M,Madrid, 6663394
MA,Málaga, 1661785
MU,Murcia, 1493898
NA,Navarra, 654214
OR,Ourense, 307651
P,Palencia, 160980
PO,Pontevedra, 942665
SA,Salamanca, 330119
TF,Santa Cruz De Tenerife, 1032983
SG,Segovia, 153129
SE,Sevilla, 1942389
SO,Soria, 88636
T,Tarragona, 804664
TE,Teruel, 134137
TO,Toledo, 694844
V,València/Valencia, 2565124
VA,Valladolid, 519546
ZA,Zamora, 172539
Z,Zaragoza, 964693
ME,Melilla, 86487
CE,Ceuta, 84777